Key,Year,Url,Publication Title,Title,Abstract（英文）,Keywords,标题,Abstract（中文）,关键词,可用数据集,源代码,备注（如改进方向等）
ZZRG2YFN,2023,https://doi.org/10.1109/ICSE48619.2023.00064,ICSE 2023,Is It Enough to Recommend Tasks to Newcomers? Understanding Mentoring on Good First Issues,"Newcomers are critical for the success and continuity of open source software (OSS) projects. To attract newcomers and facilitate their onboarding, many OSS projects recommend tasks for newcomers, such as good first issues (GFIs). Previous studies have preliminarily investigated the effects of GFIs and techniques to identify suitable GFIs. However, it is still unclear whether just recommending tasks is enough and how significant mentoring is for newcomers. To better understand mentoring in OSS communities, we analyze the resolution process of 48,402 GFIs from 964 repositories through a mix-method approach. We investigate the extent, the mentorship structures, the discussed topics, and the relevance of expert involvement. We find that ~70% of GFIs have expert participation, with each GFI usually having one expert who makes two comments. Half of GFIs will receive their first expert comment within 8.5 hours after a newcomer comment. Through analysis of the collaboration networks of newcomers and experts, we observe that community mentorship presents four types of structure: centralized mentoring, decentralized mentoring, collaborative mentoring, and distributed mentoring. As for discussed topics, we identify 14 newcomer challenges and 18 expert mentoring content. By fitting the generalized linear models, we find that expert involvement positively correlates with newcomers' successful contributions but negatively correlates with newcomers' retention. Our study manifests the status and significance of mentoring in the OSS projects, which provides rich practical implications for optimizing the mentoring process and helping newcomers contribute smoothly and suecessfully,","newcomer,mentoring,open source,good first issue",向新人推荐任务就够了吗？理解良好开端问题的指导,新加入者对于开放源码软件（OSS）项目的成功和连续性至关重要。为了吸引新来者并促进他们的入职，许多OSS项目向新来者推荐任务，例如良好的第一期（GFI）。先前的研究已经初步调查了GFI的效果和确定合适GFI的技术。然而，目前尚不清楚仅仅推荐任务是否足够，以及辅导对新人的意义有多大。为了更好地理解OSS社区中的辅导，我们通过混合方法分析了964个存储库中48402个GFI的解决过程。我们调查了专家参与的程度、指导结构、讨论的主题和相关性。我们发现，约70%的GFI有专家参与，每个GFI通常有一位专家发表两条评论。一半的GFI将在收到新评论后8.5小时内收到他们的第一条专家评论。通过分析新来者和专家的协作网络，我们观察到社区导师制呈现出四种类型的结构：集中导师制、分散导师制、协作导师制和分布式导师制。关于讨论的主题，我们确定了14个新挑战和18个专家指导内容。通过拟合广义线性模型，我们发现专家参与与新人的成功贡献呈正相关，但与新人的保留率呈负相关。我们的研究表明了辅导在OSS项目中的地位和意义，这为优化辅导过程和帮助新来者顺利、成功地做出贡献提供了丰富的实践意义，,新人，指导，开源，好的第一期,,,
6FVLHTVI,2023,https://doi.org/10.1109/ICSE48619.2023.00050,ICSE 2023,PTPDroid: Detecting Violated User Privacy Disclosures to Third-Parties of Android Apps,"Android apps frequently access personal information to provide customized services. Since such information is sensitive in general, regulators require Android app vendors to publish privacy policies that describe what information is collected and why it is collected. Existing work mainly focuses on the types of the collected data but seldom considers the entities that collect user privacy, which could falsely classify problematic declarations about user privacy collected by third-parties into clear disclosures. To address this problem, we propose PTPDroid, a flow-to-policy consistency checking approach and an automated tool, to comprehensively uncover from the privacy policy the violated disclosures to third-parties. Our experiments on real-world apps demonstrate the effectiveness and superiority of PTPDroid, and our empirical study on 1,000 popular real-world apps reveals that violated user privacy disclosures to third-parties are prevalent in practice.","Android app,privacy policy,third-party entities,violation detection,taint analysis,empirical study",PTPDroid:检测违反用户隐私向安卓应用程序第三方披露,安卓应用程序经常访问个人信息以提供定制服务。由于此类信息通常是敏感的，监管机构要求安卓应用程序供应商发布隐私政策，说明收集的信息以及收集原因。现有工作主要关注收集的数据类型，但很少考虑收集用户隐私的实体，这可能会将第三方收集的关于用户隐私的有问题的声明错误地归类为明确的披露。为了解决这个问题，我们提出了一种流到策略一致性检查方法和自动化工具PTPDroid，以从隐私政策中全面揭示向第三方披露的违规信息。我们在现实世界应用程序上的实验证明了PTPDroid的有效性和优越性，我们对1000个流行的现实世界应用的实证研究表明，向第三方披露侵犯用户隐私的行为在实践中很普遍。,安卓应用程序，隐私政策，第三方实体，违规检测，污染分析，实证研究,,,
MKE2A7QL,2023,https://doi.org/10.1109/ICSE48619.2023.00011,ICSE 2023,The Road Toward Dependable AI Based Systems,"With the advent of deep learning, AI components have achieved unprecedented performance on complex, human competitive tasks, such as image, video, text and audio processing. Hence, they are increasingly integrated into sophisticated software systems, some of which (e.g., autonomous vehicles) are required to deliver certified dependability warranties. In this talk, I will consider the unique features of AI based systems and of the faults possibly affecting them, in order to revise the testing fundamentals and redefine the overall goal of testing, taking a statistical view on the dependability warranties that can be actually delivered. Then, I will consider the key elements of a revised testing process for AI based systems, including the test oracle and the test input generation problems. I will also introduce the notion of runtime supervision, to deal with unexpected error conditions that may occur in the field. Finally, I will identify the future steps that are essential to close the loop from testing to operation, proposing an empirical framework that reconnects the output of testing to its original goals.","Software Testing,Deep Learning,Reliability and Dependability",迈向可靠的基于人工智能的系统之路,随着深度学习的出现，人工智能组件在图像、视频、文本和音频处理等复杂的、具有人类竞争力的任务上取得了前所未有的性能。因此，它们越来越多地集成到复杂的软件系统中，其中一些系统（如自动驾驶汽车）需要提供经认证的可靠性保证。在本次演讲中，我将考虑基于人工智能的系统的独特特征以及可能影响它们的故障，以修订测试基本原理并重新定义测试的总体目标，从统计角度看待实际可提供的可靠性保证。然后，我将考虑基于人工智能的系统的修订测试流程的关键要素，包括测试预言机和测试输入生成问题。我还将介绍运行时监督的概念，以处理现场可能发生的意外错误情况。最后，我将确定未来的步骤，这些步骤对于结束从测试到操作的循环至关重要，并提出一个经验框架，将测试的输出与其原始目标重新连接起来。,软件测试，深度学习，可靠性和可靠性,,,
TB8WEZIQ,2023,https://doi.org/10.1109/ICSE48619.2023.00038,ICSE 2023,Do I Belong? Modeling Sense of Virtual Community Among Linux Kernel Contributors,"The sense of belonging to a community is a basic human need that impacts an individual's behavior, long-term engagement, and job satisfaction, as revealed by research in disciplines such as psychology, healthcare, and education. Despite much research on how to retain developers in Open Source Software (OSS) projects and other virtual, peer-production communities, there is a paucity of research investigating what might contribute to a sense of belonging in these communities. To that end, we develop a theoretical model that seeks to understand the link between OSS developer motives and a Sense of Virtual Community (SVC). We test the model with a dataset collected in the Linux Kernel developer community (N=225), using structural equation modeling techniques. Our results for this case study show that intrinsic motivations (social or hedonic motives) are positively associated with a sense of virtual community, but living in an authoritative country and being paid to contribute can reduce the sense of virtual community. Based on these results, we offer suggestions for open source projects to foster a sense of virtual community, with a view to retaining contributors and Improving projects' sustainability.","sense of virtual community,belonging,open source,software developers,human factors,survey,PLS-SEM",我属于吗？Linux内核贡献者的虚拟社区建模意识,心理学、医疗保健和教育等学科的研究表明，对社区的归属感是影响个人行为、长期参与和工作满意度的人类基本需求。尽管有很多关于如何在开源软件（OSS）项目和其他虚拟的同行生产社区中留住开发人员的研究，但很少有研究调查什么可能有助于这些社区的归属感。为此，我们开发了一个理论模型，试图理解OSS开发者的动机和虚拟社区感（SVC）之间的联系。我们使用结构方程建模技术，用Linux内核开发人员社区（N=225）中收集的数据集测试了该模型。我们在这个案例研究中的结果表明，内在动机（社会或享乐动机）与虚拟社区感呈正相关，但生活在权威国家并获得贡献报酬会降低虚拟社区感。基于这些结果，我们为开源项目提供了建议，以培养虚拟社区意识，从而留住贡献者并提高项目的可持续性。,虚拟社区感，归属感，开源，软件开发人员，人为因素，调查，PLS-SEM,,,
J4XUQRWC,2023,https://doi.org/10.1109/ICSE48619.2023.00203,ICSE 2023,Automating Code-Related Tasks Through Transformers: The Impact of Pre-training,"Transformers have gained popularity in the software engineering (SE) literature. These deep learning models are usually pre-trained through a self-supervised objective, meant to provide the model with basic knowledge about a language of interest (e.g., Java). A classic pre-training objective is the masked language model (MLM), in which a percentage of tokens from the input (e.g., a Java method) is masked, with the model in charge of predicting them. Once pre-trained, the model is then fine-tuned to support the specific downstream task of interest (e.g., code summarization). While there is evidence suggesting the boost in performance provided by pre-training, little is known about the impact of the specific pre-training objective(s) used. Indeed, MLM is just one of the possible pre-training objectives and recent work from the natural language processing field suggest that pre-training objectives tailored for the specific downstream task of interest may substantially boost the model's performance. For example, in the case of code summarization, a tailored pre-training objective could be the identification of an appropriate name for a given method, considering the method name to generate as an extreme summary. In this study, we focus on the impact of pre-training objectives on the performance of trans-formers when automating code-related tasks. We start with a systematic literature review aimed at identifying the pre-training objectives used in SE. Then, we pre-train 32 transformers using both (i) generic pre-training objectives usually adopted in SE; and (ii) pre-training objectives tailored to specific code-related tasks subject of our experimentation, namely bug-fixing, code summarization, and code completion. We also compare the pre-trained models with non pre-trained ones and show the advantage brought by pre-training in different scenarios, in which more or less fine-tuning data are available. Our results show that: (i) pre-training helps in boosting performance only if the amount of fine-tuning data available is small; (ii) the MLM objective is usually sufficient to maximize the prediction performance of the model, even when comparing it with pre-training objectives specialized for the downstream task at hand.","Pre-training,Code Recommenders",通过变压器实现代码相关任务的自动化：预培训的影响,变压器在软件工程（SE）文献中越来越受欢迎。这些深度学习模型通常是通过自我监督目标预先训练的，旨在为模型提供有关感兴趣的语言（例如Java）的基本知识。一个经典的预训练目标是掩蔽语言模型（MLM），其中来自输入（例如Java方法）的令牌的百分比被掩蔽，由模型负责预测它们。一旦进行了预训练，则对模型进行微调，以支持感兴趣的特定下游任务（例如，代码摘要）。虽然有证据表明预训练可以提高成绩，但人们对所使用的特定预训练目标的影响知之甚少。事实上，传销只是可能的预训练目标之一，自然语言处理领域的最新工作表明，为感兴趣的特定下游任务量身定制的预训练目的可能会大大提高模型的性能。例如，在代码摘要的情况下，定制的预训练目标可以是识别给定方法的适当名称，将要生成的方法名称视为极端摘要。在这项研究中，我们重点关注在自动化代码相关任务时，预训练目标对转换器性能的影响。我们从系统的文献综述开始，旨在确定SE中使用的预培训目标。然后，我们使用以下两种方法对32台变压器进行预培训：（i）SE中通常采用的通用预培训目标；以及（ii）针对我们实验的特定代码相关任务量身定制的预训练目标，即错误修复、代码摘要和代码完成。我们还比较了预训练模型和未预训练模型，并展示了在不同场景下预训练带来的优势，在不同场景中，或多或少都有微调数据可用。我们的结果表明：（i）只有当可用的微调数据量很小时，预训练才有助于提高成绩；（ii）MLM目标通常足以使模型的预测性能最大化，即使将其与专门用于手头下游任务的预训练目标进行比较也是如此。,预培训，代码推荐人,,,
QT8IUFSN,2023,https://doi.org/10.1109/ICSE48619.2023.00052,ICSE 2023,Bad Snakes: Understanding and Improving Python Package Index Malware Scanning,"Open-source, community-driven package repositories see thousands of malware packages each year, but do not currently run automated malware detection systems. In this work, we explore the security goals of the repository administrators and the requirements for deploying such malware scanners via a case study of the Python ecosystem and PyPI repository, including interviews with administrators and maintainers. Further, we evaluate existing malware detection techniques for deployment in this setting by creating a benchmark dataset and comparing several existing tools: the malware checks implemented in PyPI, Bandit4Mal, and OSSGadget's OSS Detect Backdoor. We find that repository administrators have exacting requirements for such malware detection tools. Specifically, they consider a false positive rate of even 0.1% to be unacceptably high, given the large number of package releases that might trigger false alerts. Measured tools have false positive rates between 15% and 97%; increasing thresholds for detection rules to reduce this rate renders the true positive rate useless. While automated tools are far from reaching these demands, we find that a socio-technical malware detection system has emerged to meet these needs: external security researchers perform repository malware scans, filter for useful results, and report the results to repository administrators. These parties face different incentives and constraints on their time and tooling. We conclude with recommendations for improving detection capabilities and strengthening the collaboration between security researchers and software repository administrators.","Open-source software (OSS) Supply Chain,Malware Detection,PyPI,Qualitative Study,Quantitative Study",Bad Snakes：理解和改进Python包索引恶意软件扫描,开源、社区驱动的软件包存储库每年都会看到数千个恶意软件包，但目前还没有运行自动恶意软件检测系统。在这项工作中，我们通过对Python生态系统和PyPI存储库的案例研究，包括对管理员和维护人员的采访，探讨了存储库管理员的安全目标以及部署此类恶意软件扫描仪的要求。此外，我们通过创建一个基准数据集并比较几种现有工具来评估在这种情况下部署的现有恶意软件检测技术：PyPI、Bandit4Mal和OSSGadget的OSS Detect Backdoor中实现的恶意软件检查。我们发现，存储库管理员对此类恶意软件检测工具有严格的要求。具体而言，他们认为，考虑到可能引发虚假警报的大量软件包发布，即使是0.1%的假阳性率也高得令人无法接受。测量工具的假阳性率在15%到97%之间；增加检测规则的阈值以降低该比率使得真实阳性率变得无用。虽然自动化工具远未达到这些需求，但我们发现，已经出现了一种社会技术恶意软件检测系统来满足这些需求：外部安全研究人员执行存储库恶意软件扫描，筛选有用的结果，并将结果报告给存储库管理员。这些政党在时间和工具方面面临着不同的激励和限制。最后，我们提出了改进检测能力和加强安全研究人员与软件存储库管理员之间合作的建议。,开源软件（OSS）供应链，恶意软件检测，PyPI，定性研究，定量研究,,,
P7GKWLWN,2023,https://doi.org/10.1109/ICSE48619.2023.00013,ICSE 2023,One Adapter for All Programming Languages? Adapter Tuning for Code Search and Summarization,"As pre-trained models automate many code intel-ligence tasks, a widely used paradigm is to fine-tune a model on the task dataset for each programming language. A recent study reported that multilingual fine-tuning benefits a range of tasks and models. However, we find that multilingual fine-tuning leads to performance degradation on recent models UniXcoder and CodeT5. To alleviate the potentially catastrophic forgetting issue in multilingual models, we fix all pre-trained model parameters, insert the parameter-efficient structure adapter, and fine-tune it. Updating only 0.6% of the overall parameters compared to full-model fine-tuning for each programming language, adapter tuning yields consistent improvements on code search and sum-marization tasks, achieving state-of-the-art results. In addition, we experimentally show its effectiveness in cross-lingual and low-resource scenarios. Multilingual fine-tuning with 200 samples per programming language approaches the results fine-tuned with the entire dataset on code summarization. Our experiments on three probing tasks show that adapter tuning significantly outperforms full-model fine-tuning and effectively overcomes catastrophic forgetting.","transfer learning,adapter,multilingual task",适用于所有编程语言的一个适配器？用于代码搜索和摘要的适配器调整,由于预先训练的模型使许多代码智能任务自动化，因此一种广泛使用的范式是在每个编程语言的任务数据集上微调模型。最近的一项研究报告称，多语言微调有利于一系列任务和模型。然而，我们发现多语言微调会导致最新型号UniXcoder和CodeT5的性能下降。为了缓解多语言模型中潜在的灾难性遗忘问题，我们修复了所有预先训练好的模型参数，插入参数有效的结构适配器，并对其进行微调。与每种编程语言的全模型微调相比，适配器调整只更新了0.6%的总体参数，从而在代码搜索和求和任务上产生了一致的改进，实现最先进的结果。此外，我们通过实验证明了它在跨语言和低资源场景中的有效性。每种编程语言200个样本的多语言微调接近于在代码摘要上对整个数据集进行微调的结果。我们在三个探测任务上的实验表明，适配器调优显著优于全模型微调，并有效克服了灾难性遗忘。,迁移学习，适配器，多语言任务,,,
TTJFQWTV,2023,https://doi.org/10.1109/ICSE48619.2023.00117,ICSE 2023,Verifying Data Constraint Equivalence in FinTech Systems,"Data constraints are widely used in FinTech systems for monitoring data consistency and diagnosing anomalous data manipulations. However, many equivalent data constraints are created redundantly during the development cycle, slowing down the FinTech systems and causing unnecessary alerts. We present EQDAC, an efficient decision procedure to determine the data constraint equivalence. We first propose the symbolic representation for semantic encoding and then introduce two light-weighted analyses to refute and prove the equivalence, respectively, which are proved to achieve in polynomial time. We evaluate EQDAC upon 30,801 data constraints in a FinTech system. It is shown that EQDAC detects 11,538 equivalent data constraints in three hours. It also supports efficient equivalence searching with an average time cost of 1.22 seconds, enabling the system to check new data constraints upon submission.","Equivalence Verification,Data Constraints,Fin-Tech Systems",验证金融科技系统中的数据约束等价性,数据约束在金融科技系统中被广泛用于监测数据一致性和诊断异常数据操作。然而，在开发周期中，许多等效的数据约束是冗余创建的，这会减慢FinTech系统的速度，并导致不必要的警报。我们提出了EQDAC，这是一种确定数据约束等价性的有效决策过程。我们首先提出了语义编码的符号表示，然后引入两个轻权分析来分别反驳和证明等价性，这两个分析被证明是在多项式时间内实现的。我们根据金融科技系统中30801个数据约束对EQDAC进行了评估。结果表明，EQDAC在三小时内检测到11538个等效数据约束。它还支持高效的等价搜索，平均时间成本为1.22秒，使系统能够在提交时检查新的数据约束。,等效性验证，数据约束，财务技术系统,,,
GB8IZ5JY,2023,https://doi.org/10.1109/ICSE48619.2023.00200,ICSE 2023,MTTM: Metamorphic Testing for Textual Content Moderation Software,"The exponential growth of social media platforms such as Twitter and Facebook has revolutionized textual communication and textual content publication in human society. However, they have been increasingly exploited to propagate toxic content, such as hate speech, malicious advertisement, and pornography, which can lead to highly negative impacts (e.g., harmful effects on teen mental health). Researchers and practitioners have been enthusiastically developing and extensively deploying textual content moderation software to address this problem. However, we find that malicious users can evade moderation by changing only a few words in the toxic content. Moreover, modern content moderation software's performance against malicious inputs remains underexplored. To this end, we propose MTTM, a Metamorphic Testing framework for Textual content Moderation software. Specifically, we conduct a pilot study on 2, 000 text messages collected from real users and summarize eleven metamorphic relations across three perturbation levels: character, word, and sentence. MTTM employs these metamorphic relations on toxic textual contents to generate test cases, which are still toxic yet likely to evade moderation. In our evaluation, we employ MTTM to test three commercial textual content moderation software and two state-of-the-art moderation algorithms against three kinds of toxic content. The results show that MTTM achieves up to 83.9%, 51%, and 82.5% error finding rates (EFR) when testing commercial moderation software provided by Google, Baidu, and Huawei, respectively, and it obtains up to 91.2% EFR when testing the state-of-the-art algorithms from the academy. In addition, we leverage the test cases generated by MTTM to retrain the model we explored, which largely improves model robustness 0% ~ 5.9% EFR) while maintaining the accuracy on the original test set. A demo can be found in this link1.","Software testing,metamorphic relations,NLP software,textual content moderation",MTTM：文本内容调节软件的变形测试,Twitter和Facebook等社交媒体平台的指数级增长彻底改变了人类社会的文本交流和文本内容发布。然而，它们越来越多地被用来传播有毒内容，如仇恨言论、恶意广告和色情，这可能会导致高度负面的影响（例如，对青少年心理健康的有害影响）。研究人员和从业者一直在积极开发和广泛部署文本内容审核软件来解决这个问题。然而，我们发现恶意用户可以通过只更改有毒内容中的几个单词来逃避审核。此外，现代内容审核软件对恶意输入的性能仍然没有得到充分的研究。为此，我们提出了MTTM，一个用于文本内容调节软件的变形测试框架。具体来说，我们对从真实用户那里收集的2000条短信进行了试点研究，总结了三个扰动级别的11种变形关系：字符、单词和句子。MTTM在有毒的文本内容上使用这些变质关系来生成测试用例，这些测试用例仍然是有毒的，但可能会逃避审核。在我们的评估中，我们使用MTTM测试了三种商业文本内容审核软件和两种最先进的针对三种有毒内容的审核算法。结果表明，MTTM在测试谷歌、百度和华为提供的商业审核软件时，分别获得了83.9%、51%和82.5%的错误发现率，在测试该院最先进的算法时，其错误发现率高达91.2%。此外，我们利用MTTM生成的测试用例来重新训练我们探索的模型，这在很大程度上提高了模型的鲁棒性0%~5.9%EFR），同时保持了原始测试集的准确性。演示可在此链接1中找到。,软件测试，变形关系，NLP软件，文本内容审核,,,
6YKHS49L,2023,https://doi.org/10.1109/ICSE48619.2023.00062,ICSE 2023,Understanding and Detecting On-The-Fly Configuration Bugs,"Software systems introduce an increasing number of configuration options to provide flexibility, and support updating the options on the fly to provide persistent services. This mechanism, however, may affect the system reliability, leading to unexpected results like software crashes or functional errors. In this paper, we refer to the bugs caused by on-the-fly configuration updates as on-the-fly configuration bugs, or OCBugs for short. In this paper, we conducted the first in-depth study on 75 real-world OCBugs from 5 widely used systems to understand the symptoms, root causes, and triggering conditions of OCBugs. Based on our study, we designed and implemented Parachute, an automated testing framework to detect OCBugs. Our key insight is that the value of one configuration option, either loaded at the startup phase or updated on the fly, should have the same effects on the target program. Parachute generates tests for on-the-fly configuration updates by mutating the existing tests and conducts differential analysis to identify OCBugs. We evaluated Parachute on 7 real-world software systems. The results show that Parachute detected 75% (42/56) of the known OCBugs, and reported 13 unknown bugs, 11 of which have been confirmed or fixed by developers until the time of writing.","on-the-fly configuration updates,bug detection,metamorphic testing",了解和检测动态配置错误,软件系统引入了越来越多的配置选项以提供灵活性，并支持动态更新选项以提供持久服务。然而，这种机制可能会影响系统的可靠性，导致软件崩溃或功能错误等意外结果。在本文中，我们将动态配置更新引起的错误称为动态配置错误，简称OCBug。在本文中，我们对5个广泛使用的系统中的75个真实世界的OCBug进行了首次深入研究，以了解OCBug的症状、根本原因和触发条件。基于我们的研究，我们设计并实现了Parachute，这是一个检测OCBug的自动化测试框架。我们的关键见解是，一个配置选项的值，无论是在启动阶段加载还是在运行中更新，都应该对目标程序产生相同的影响。降落伞通过改变现有测试来生成飞行中配置更新的测试，并进行差异分析以识别OCBug。我们在7个真实世界的软件系统上评估了降落伞。结果显示，Parachute检测到75%（42/56）的已知OCBug，并报告了13个未知Bug，其中11个已被开发人员确认或修复，直到撰写本文时为止。,动态配置更新，错误检测，变形测试,,,
RLANNLWL,2023,https://doi.org/10.1109/ICSE48619.2023.00086,ICSE 2023,Taintmini: Detecting Flow of Sensitive Data in Mini-Programs with Static Taint Analysis,"Mini-programs, which are programs running inside mobile super apps such as WeChat, often have access to privacy-sensitive information, such as location data and phone numbers, through APUs provided by the super apps. This access poses a risk of privacy sensitive data leaks, either accidentally from carelessly programmed mini-programs or intentionally from malicious ones. To address this concern, it is crucial to track the flow of sensitive data in mini-programs for either human analysis or automated tools. Although existing taint analysis techniques have been widely studied, they face unique challenges in tracking sensitive data flows in mini-programs, such as cross-language, cross-page, and cross-mini-program data flows. This paper presents a novel framework, Taintmini, which addresses these challenges by using a novel universal data flow graph approach that captures data flows within and across mini-programs. We have evaluated Taintminiwith 238,866 mini-programs and detect 27,184 that contain sensitive data flows. We have also applied Taintminito detect privacy leakage colluding mini-programs and identify 455 such programs from them that clearly violate privacy policy.","Mini-programs,Taint analysis,Privacy leaks detection,Security,Empirical Study",Taintmini:用静态Taint分析检测小程序中的敏感数据流,迷你程序是在微信等移动超级应用程序中运行的程序，通常可以通过超级应用程序提供的APU访问位置数据和电话号码等隐私敏感信息。这种访问带来了隐私敏感数据泄露的风险，无论是不小心编程的迷你程序意外泄露的，还是恶意程序故意泄露的。为了解决这一问题，跟踪用于人工分析或自动化工具的迷你程序中的敏感数据流至关重要。尽管现有的污染分析技术已经得到了广泛的研究，但它们在跟踪小程序中的敏感数据流方面面临着独特的挑战，例如跨语言、跨页面和跨小程序的数据流。本文提出了一个新的框架Taintmini，它通过使用一种新的通用数据流图方法来捕捉迷你程序内和跨迷你程序的数据流，从而解决了这些挑战。我们已经用238866个迷你程序评估了Taintmini，并检测到27184个包含敏感数据流的程序。我们还应用Taintminit来检测串通迷你程序的隐私泄露，并从中识别出455个明显违反隐私政策的程序。,迷你程序，污点分析，隐私泄露检测，安全，实证研究,,,
9WWAMRK2,2023,https://doi.org/10.1109/ICSE48619.2023.00145,ICSE 2023,Test Selection for Unified Regression Testing,"Today's software failures have two dominating root causes: code bugs and misconfigurations. To combat failure-inducing software changes, unified regression testing (URT) is needed to synergistically test the changed code and all changed production configurations for deployment reliability. However, URT could incur high cost, as it needs to run a large number of tests under multiple configurations. Regression test selection (RTS) can reduce regression testing cost. Unfortunately, no existing RTS technique reasons about code and configuration changes collectively. We introduce Unified Regression Test Selection (uRTS) to effectively reduce the cost of URT. uRTS supports project changes on 1) code only, 2) configurations only, and 3) both code and configurations. It selects regular tests and configuration tests with a unified selection algorithm. The uRTS algorithm analyzes code and configuration dependencies of each test across runs and across configurations. uRTS provides the same safety guarantee as the state-of-the-art RTS while selecting fewer tests and, more importantly, reducing the end-to-end testing time. We implemented uRTS on top of Ekstazi (a RTS tool for code changes) and Ctest (a configuration testing framework). We evaluate uRTS on hundreds of code revisions and dozens of configurations of five large projects. The results show that uRTS reduces the end-to-end testing time, on average, by 3.64X compared to executing all tests and 1.87X compared to a competitive reference solution that directly extends RTS for URT.","Codes,Costs,Computer bugs,Production,Reliability engineering,Software,Software reliability",统一回归测试的测试选择,今天的软件故障有两个主要的根本原因：代码错误和错误配置。为了对抗引起故障的软件更改，需要统一回归测试（URT）来协同测试更改后的代码和所有更改后的生产配置，以提高部署可靠性。然而，URT可能会产生高昂的成本，因为它需要在多种配置下运行大量测试。回归测试选择（RTS）可以降低回归测试成本。不幸的是，没有任何现有的RTS技术会对代码和配置进行集体更改。为了有效降低URT的成本，我们引入了统一回归测试选择（uRTS）。uRTS支持对1）仅代码、2）仅配置以及3）代码和配置进行项目更改。它使用统一的选择算法选择定期测试和配置测试。uRTS算法分析每个测试在运行和配置之间的代码和配置依赖关系。uRTS提供了与最先进的RTS相同的安全保障，同时选择了更少的测试，更重要的是，减少了端到端测试时间。我们在Ekstazi（一个用于代码更改的RTS工具）和Ctest（一个配置测试框架）之上实现了uRTS。我们在五个大型项目的数百个代码修订和数十个配置上评估了uRTS。结果表明，与执行所有测试相比，uRTS平均减少了3.64倍的端到端测试时间，与直接扩展RTS for URT的竞争参考解决方案相比，uRTS平均减少了1.87倍。,代码，成本，计算机错误，生产，可靠性工程，软件，软件可靠性,,,
P2623DR4,2023,https://doi.org/10.1109/ICSE48619.2023.00189,ICSE 2023,DeepVD: Toward Class-Separation Features for Neural Network Vulnerability Detection,"The advances of machine learning (ML) including deep learning (DL) have enabled several approaches to implicitly learn vulnerable code patterns to automatically detect software vulnerabilities. A recent study showed that despite successes, the existing ML/DL-based vulnerability detection (VD) models are limited in the ability to distinguish between the two classes of vulnerability and benign code. We propose DeepVD, a graph-based neural network VD model that emphasizes on class-separation features between vulnerability and benign code. DeepVDleverages three types of class-separation features at different levels of abstraction: statement types (similar to Part-of-Speech tagging), Post-Dominator Tree (covering regular flows of execution), and Exception Flow Graph (covering the exception and error-handling flows). We conducted several experiments to evaluate DeepVD in a real-world vulnerability dataset of 303 projects with 13,130 vulnerable methods. Our results show that DeepVD relatively improves over the state-of-the-art ML/DL-based VD approaches 13%–29.6% in precision, 15.6%–28.9% in recall, and 16.4%–25.8% in F-score. Our ablation study confirms that our designed features and components help DeepVDachieve high class-separability for vulnerability and benign code.","neural vulnerability detection,graph neural network,class separation",DeepVD：面向神经网络漏洞检测的类分离特征,包括深度学习（DL）在内的机器学习（ML）的进步使几种方法能够隐式学习易受攻击的代码模式，从而自动检测软件漏洞。最近的一项研究表明，尽管取得了成功，但现有的基于ML/DL的漏洞检测（VD）模型在区分两类漏洞和良性代码方面的能力有限。我们提出了DeepVD，这是一种基于图的神经网络VD模型，强调漏洞和良性代码之间的类分离特征。DeepVD在不同抽象级别利用了三种类型的类分离功能：语句类型（类似于词性标记）、后支配树（涵盖常规执行流）和异常流图（涵盖异常和错误处理流）。我们在303个项目的真实世界漏洞数据集中进行了几个实验来评估DeepVD，使用了13130种漏洞方法。我们的结果表明，与最先进的基于ML/DL的VD相比，DeepVD的准确率相对提高了13%–29.6%，召回率接近15.6%–28.9%，F得分接近16.4%–25.8%。我们的消融研究证实，我们设计的功能和组件有助于DeepVD实现漏洞和良性代码的高度可分离性。,神经脆弱性检测，图神经网络，类分离,,,
